اب	أب,آب,أَبّ,أَب,إِبّ
خشميثن	NEWMORPH
خشن	أَخْشَن,خَشَّن,خَشِن,خَشُن
خشوب	NEWMORPH
خشوفغن	NEWMORPH
خشوننجكث	NEWMORPH
خشيبة	NEWMORPH
خشين	خَشِي-َ,خَشَّى
خشينان	NEWMORPH
خشينديزه	NEWMORPH
خصا	خَصّ,خُصّ
خصر	خَصْر,خَصِر-َ
خصفى	NEWMORPH
خصلة	خَصْلَة,خُصْلَة
خصيل	NEWMORPH
خضاب	خِضاب
خضراء	أَخْضَر
خضرة	خَضَّر,خَضِر,خُضْرَة
خضرمة	خِضْرِم
خضلات	خَضِل
خضم	خِضَمّ,خَضَم-ِ
خضمان	خِضَمّ
خضوراء	NEWMORPH
خطرنية	NEWMORPH
خطم	خَطْم
خطمة	خَطْم
خطى	خَطَّى,خَطْوَة,خَطِّيّ,خَطّ
خفاف	خَفِيف,خَفاف,خُفّ
خفان	خُفّان,خُفّ
خفتيان	NEWMORPH
خفتيذكان	NEWMORPH
خفدان	NEWMORPH
خفية	خُفْيَة,خَفِيّ,خَفِيَّة,خُفّ
خفينن	NEWMORPH
خكنجه	NEWMORPH
خلاد	NEWMORPH
خلار	NEWMORPH
خلاط	خَلّاط
خلاطا	خَلّاط
خلال	خِلالَ,خِلال
خلائل	NEWMORPH
خلبتا	خَلَب,خَلَب-ِ
خلة	خَلَّة,خُلَّة,خَلّ
خلج	خَلِيج,خَلَج-ِ
خلخال	خَلْخال
خلص	خَلَص,خالِص,خَلَّص
خلم	NEWMORPH
خليب	NEWMORPH
خليت	خَلَّى
خليص	خَلِيص
خليفة	خَلِيفَة
خليقة	خَلِيق
خليقى	خَلِيق
خم	خُمّ,خَمّ
خماء	NEWMORPH
خمار	خُمار,خَمّار,خِمار
خماساء	NEWMORPH
خماصة	NEWMORPH
خمان	NEWMORPH
خمايجان	NEWMORPH
خمة	خَمَّة,خُمّ,خَمّ
خمخيسرة	NEWMORPH
خمرا	خَمْر,خَمَّر,خَمَر,خِمار
خمران	NEWMORPH
خمربرت	NEWMORPH
خمرك	خَمْر,خَمَّر,خَمَر,خِمار
خمطة	NEWMORPH
خمقاباذ	NEWMORPH
خمقرى	NEWMORPH
خمليخ	NEWMORPH
خميثن	NEWMORPH
خمير	خَمِير,خِمِّير
خميل	NEWMORPH
خناب	NEWMORPH
خناثا	خُنْثَى
خناجن	NEWMORPH
خناس	خَنّاس
خناصرة	خِنْصِر
خنامتى	NEWMORPH
خنبون	NEWMORPH
خنثل	NEWMORPH
خنجرة	خَنْجَر
خنداذ	NEWMORPH
خندروذ	NEWMORPH
خندمة	NEWMORPH
خنزب	خَنْزَب
خنزج	NEWMORPH
خنزر	NEWMORPH
خنزرة	NEWMORPH
خنزير	خِنْزِير
خنعس	NEWMORPH
خنفر	خَنْفَر
خنفس	خُنْفُس
خنليق	NEWMORPH
خنور	NEWMORPH
خنوقاء	NEWMORPH
خنية	NEWMORPH
خنيس	NEWMORPH
خو	NEWMORPH
خوابذان	NEWMORPH
خوار	خُوار,خَوّار
خوارج	خَوارِج
خوارزم	NEWMORPH
خواش	NEWMORPH
خواشت	NEWMORPH
خواف	خافِيَة,خَوّاف
خواقند	NEWMORPH
خواية	NEWMORPH
خوجان	NEWMORPH
خود	NEWMORPH
خور	خَوْر,خَوِر-َ,خَوَر
خورزن	NEWMORPH
خورم	NEWMORPH
خوز	NEWMORPH
خوزان	NEWMORPH
خوزستان	خُوزِسْتان
خوزيان	NEWMORPH
خوست	خُوست
خوسر	NEWMORPH
خوش	NEWMORPH
خوشب	NEWMORPH
خوصاء	NEWMORPH
خوط	NEWMORPH
خوع	NEWMORPH
خولان	NEWMORPH
خولنجان	NEWMORPH
خومين	NEWMORPH
خونا	خَوَّن
خونت	خَوَّن
خونج	NEWMORPH
خونجان	NEWMORPH
خونيان	NEWMORPH
خوي	خَوَى-ِ,خَواء,خَوِي-َ,خُوَي
خويث	NEWMORPH
خويلفة	NEWMORPH
خيابر	NEWMORPH
خياذان	NEWMORPH
خيارة	خَيْر,خِيار
خيازج	NEWMORPH
خيام	خَيْمَة,خَيّام
خيبر	خَيْبَر
خيت	NEWMORPH
خيدب	NEWMORPH
خيدشتر	NEWMORPH
خير	خَيِّر,خَيْر,خَيَّر
خيران	خَوْر,خَيِّر
خيرة	خَيِّر,خِيرَة,خَيْر,خَيَّر,خَيْرَة
خيرج	NEWMORPH
خيرين	خَيِّر
خيزاخزا	NEWMORPH
خيزار	NEWMORPH
خيس	خَيْس
خيسار	NEWMORPH
خيسق	NEWMORPH
خيش	خَيْش
خيشان	NEWMORPH
خيصل	NEWMORPH
خيف	NEWMORPH
خيفق	NEWMORPH
خيقمان	NEWMORPH
خيل	أَخْيَل,خَيَّل,خَيْل
خيلام	NEWMORPH
خيلع	NEWMORPH
خيم	خَيْمَة,خَيَّم,خِيم
خيماء	NEWMORPH
خيمر	NEWMORPH
خين	NEWMORPH
خينف	NEWMORPH
خيوان	NEWMORPH
خيوق	NEWMORPH
دءاث	NEWMORPH
داءة	داء
دابق	NEWMORPH
داث	NEWMORPH
داثر	NEWMORPH
داثن	NEWMORPH
داجون	داجِي
دادم	NEWMORPH
داذوما	NEWMORPH
دار	دار,دارّ,دارِي
دارا	دار,دارا,دارّ
داراء	NEWMORPH
دارابجرد	NEWMORPH
دارة	دار,دارَة,دارّ
دارتان	دارَة,دارّ
دارزنج	NEWMORPH
دارك	دارَك,دار,دارّ
داركان	NEWMORPH
داروما	NEWMORPH
داريا	دارِيّ,دارَى,دارِي
داسر	داسِر
داسن	NEWMORPH
داشيلوا	NEWMORPH
داعية	داعِي,داعِيَة
دامان	NEWMORPH
دامغان	دامِغ
داموس	NEWMORPH
دانا	دان-ِ
دانية	دانِي
دانيث	NEWMORPH
داور	داوَر
داوردان	NEWMORPH
داوودان	NEWMORPH
دايان	NEWMORPH
دبا	دَبّ-ِ,دُبّ
دباب	دَبّاب
دبالة	NEWMORPH
دباها	دَبّ-ِ,دُبّ
دباوند	NEWMORPH
دبثا	NEWMORPH
دبر	دَبَّر,دَبَر,دُبْر
دبزن	NEWMORPH
دبزند	NEWMORPH
دبقا	دِبْق,دَبِق-َ,دَبَّق,دَبِق
دبل	دِبْلَة
دبوب	NEWMORPH
دبورية	دَبُّور
دبوسية	دَبُّوس
دبيثا	NEWMORPH
دبير	NEWMORPH
دبيرا	NEWMORPH
دبيق	NEWMORPH
دبيل	NEWMORPH
دثر	دِثار,دَثَّر,دَثَر
دثين	NEWMORPH
دجاكن	دَجا,دُجَى,دَجّ-ِ
دجرجا	NEWMORPH
دجلة	دَجْل,دَجَل,دَجَّل,دِجْلَة
دجوة	دَجا,دَجّ-ِ
دجوج	NEWMORPH
دجيل	NEWMORPH
دحل	دَحَل
دحنا	NEWMORPH
دحوض	دُحُوض
دحي	NEWMORPH
دحيضة	NEWMORPH
دخفندون	NEWMORPH
دخكث	NEWMORPH
دخل	دَخْل,دَخَل
دخلة	دُخْلَة,دَخْل,دَخَل,دُخَّلَة,دِخْلَة
دخميس	NEWMORPH
دد	NEWMORPH
ددن	NEWMORPH
در	دَرّ,دُرّ,دَرّ-ُِ
درابجرد	NEWMORPH
درادر	NEWMORPH
دراسفيد	NEWMORPH
دراورد	NEWMORPH
درب	دَرِب-َ,دَرْب,دَرَّب
دربا	دَرِب-َ,دَرْب,دَرَّب
درباشيا	NEWMORPH
دربند	NEWMORPH
دربيشية	NEWMORPH
دربيقان	NEWMORPH
درتا	دَرَى-ِ,دُرّ,دَرّ-ُِ
درخشك	NEWMORPH
درخيد	NEWMORPH
دردشت	دَرْدَش
دردور	دُرْدُور,دَرْدُور
درزده	NEWMORPH
درزيجان	NEWMORPH
درزيو	NEWMORPH
درسينان	NEWMORPH
درعة	دِرْع,دَرَّع
درغان	NEWMORPH
درغم	NEWMORPH
درغوز	NEWMORPH
درغينة	NEWMORPH
درق	دَرَق
درقيط	NEWMORPH
درك	دَرّ,دُرّ,دَرِك,دَرَّك,دَرَك
دركجين	NEWMORPH
دركزين	NEWMORPH
دركوش	NEWMORPH
درن	دَرَن,دَرِن-َ,دار
درنا	دَرَن,دَرِن-َ,دَرّ,دُرّ,دار
درنة	دَرَن,دَرَنَة,دار
دره	دَرّ,دُرّ,دِرَّة
دروازق	NEWMORPH
دروت	NEWMORPH
دروذ	NEWMORPH
دروقة	NEWMORPH
درولية	NEWMORPH
دريجة	NEWMORPH
دريجه	NEWMORPH
دريرات	NEWMORPH
دزاه	NEWMORPH
دزباز	NEWMORPH
دزبز	NEWMORPH
دزق	NEWMORPH
دزمار	NEWMORPH
دسبندس	NEWMORPH
دستبى	NEWMORPH
دستجرد	NEWMORPH
دستميسان	NEWMORPH
دستوا	NEWMORPH
دسم	دَسَم,أَدْسَم,دَسِم
دسمان	دَسِم
دشتك	دَشْت,دَشّ
دشتيه	NEWMORPH
دشنتة	دَشَّن
دشنى	دَشّ
دعان	NEWMORPH
دعانيم	NEWMORPH
دعتب	NEWMORPH
دعمان	NEWMORPH
دعمة	دَعَم-َ,دِعْمَة,دَعَّم,دَعْم
دعنج	NEWMORPH
دغنان	NEWMORPH
دغوث	NEWMORPH
دفا	دَفّ,دَفّ-ِ,دُفّ
دفاق	دَفّاق
دفون	NEWMORPH
دقاتش	NEWMORPH
دقانية	NEWMORPH
دقدوس	NEWMORPH
دقران	NEWMORPH
دقرى	NEWMORPH
دقلة	دَقْل,دَقَل
دقهلة	NEWMORPH
دقوقاء	NEWMORPH
دكالة	NEWMORPH
دكمة	NEWMORPH
دلاص	NEWMORPH
دلاميس	NEWMORPH
دلاية	دَلّايَة
دلجة	NEWMORPH
دلغاطان	NEWMORPH
دلوث	NEWMORPH
دلوك	دَلّ,دُلُوك,دَلُوك,دَلْو,دَلَّى
دليجان	NEWMORPH
دم	دَم,دَمّ
دما	دَم,دَمّ
دماح	NEWMORPH
دماط	NEWMORPH
دمامين	NEWMORPH
دمانس	NEWMORPH
دماوند	NEWMORPH
دمح	NEWMORPH
دمخ	NEWMORPH
دمدم	دَمْدَم
دمسيس	NEWMORPH
دمشق	دِمَشْق
دمقرات	NEWMORPH
دمقش	NEWMORPH
دمقلة	NEWMORPH
دمما	دَمَّم
دمندان	NEWMORPH
دمنش	NEWMORPH
دمنهور	دَمَنْهُور
دمنو	NEWMORPH
دمون	NEWMORPH
دمياط	دُمْياط
دميانة	NEWMORPH
دميرة	دَمِيرَة
دمينة	دَمِي-َ,دَمَّى
دمينكة	NEWMORPH
دن	دان-ِ
دنا	دَنا,دان-ِ
دنباوند	NEWMORPH
دنجوية	NEWMORPH
دندانقان	NEWMORPH
دندرة	NEWMORPH
دندنة	دَنْدَن
دنديل	NEWMORPH
دنقلة	دُنْقُلَه
دنن	NEWMORPH
دنوة	دُنُوّ,دَنَّى,دَنا
دنيسر	NEWMORPH
دهجية	NEWMORPH
دهدايه	NEWMORPH
دهر	دَهْر
دهران	NEWMORPH
دهروط	NEWMORPH
دهستان	NEWMORPH
دهشور	دَهْشُور
دهقان	دِهْقان
دهك	دَهَك-َ
دهلك	دَهْلَك
دهنا	دَهَن,دُهْن,دَهْن,دَهَّن
دهنخيرجان	NEWMORPH
دوار	دُوار,دُوّار,دَوّار
دواف	NEWMORPH
دوان	NEWMORPH
دوبان	NEWMORPH
دوة	NEWMORPH
دودان	NEWMORPH
دوران	دَوَران,دَوْر
دورق	دَوْرَق
دورقة	دَوْرَق
دورقستان	NEWMORPH
دوريست	NEWMORPH
دوسر	NEWMORPH
دوسركان	NEWMORPH
دوعن	NEWMORPH
دوغان	NEWMORPH
دوقة	دُوقَة,دُوق
دوقرة	NEWMORPH
دولاب	دُولاب
دولان	دُولان
دولتاباذ	NEWMORPH
دوما	دَوْم,دَوَّم,دُوما
دومان	دُومان
دومة	دَوْم,دَوَّم
دومرية	NEWMORPH
دوميس	NEWMORPH
دومين	NEWMORPH
دون	دُونَ,دَوَّن,دُون
دونة	دُونَ,دَوَّن,دُون
دونق	NEWMORPH
دوين	دَوِي-َ,دَوَّى,دَوَى-ِ
دياف	NEWMORPH
ديالة	NEWMORPH
ديالى	NEWMORPH
ديبور	NEWMORPH
ديزك	NEWMORPH
ديسان	NEWMORPH
ديسقة	NEWMORPH
ديشان	دِيشان
ديصا	NEWMORPH
ديلم	NEWMORPH
ديلمان	NEWMORPH
ديلمستان	NEWMORPH
ديلمي	NEWMORPH
ديماس	دِيماس
ديمرت	NEWMORPH
ديمرتيان	NEWMORPH
ديمس	NEWMORPH
ديناراباذ	NEWMORPH
دينور	NEWMORPH
ديوان	دِيوان
ديوانجه	NEWMORPH
ديورة	NEWMORPH
ديوقان	NEWMORPH
ذاذيخ	NEWMORPH
ذاقن	NEWMORPH
ذاقنة	NEWMORPH
ذباب	ذُباب
ذبل	ذابِل,ذَبْل,ذَبَل
ذبوب	NEWMORPH
ذبيان	ذُبْيان
ذخكث	NEWMORPH
ذخيرة	ذَخِيرَة
ذخينوى	NEWMORPH
ذراة	ذَرَى-ِ,ذَرَى,ذَرا,ذُرْوَة,ذَرّ,ذَرَّى
ذراح	ذُرّاح
ذراعان	ذِراع
ذربان	ذَرِب
ذرة	ذَرَّة,ذُرَة,ذَرّ
ذرعينة	NEWMORPH
ذرو	ذَرْو
ذروان	NEWMORPH
ذروة	ذَرْو,ذَرا,ذُرْوَة,ذَرّ,ذَرَّى
ذرود	NEWMORPH
ذريح	NEWMORPH
ذعاط	NEWMORPH
ذفران	NEWMORPH
ذقان	NEWMORPH
ذلقامان	NEWMORPH
ذمار	ذِمار
ذمرمر	NEWMORPH
ذموران	NEWMORPH
ذمون	NEWMORPH
ذمى	ذَمّ,ذِمِّيّ,ذَمِي-َ
ذنب	ذَنْب,ذَنَب
ذنبان	ذَنَب
ذنبة	ذَنْب,ذَنَب
ذهبان	NEWMORPH
ذهوط	NEWMORPH
ذهيوط	NEWMORPH
ذوال	NEWMORPH
ذورة	NEWMORPH
ذوفة	NEWMORPH
ذياد	ذِياد
ذيال	NEWMORPH
ذيالة	NEWMORPH
ذيبدوان	NEWMORPH
ذيمون	NEWMORPH
رابات	رابَّة
رابة	راب-ِ,راب,رابَّة,رابّ
رابخ	NEWMORPH
رابغ	رابِغ
رابغة	رابِغ
راتج	NEWMORPH
راجل	راجِل
راخ	راخِي
رادس	NEWMORPH
راذان	NEWMORPH
راران	NEWMORPH
رازاباذ	NEWMORPH
رازان	NEWMORPH
رازكان	NEWMORPH
راسب	راسِب
راسة	رَأْس
راسك	رَأْس
راشت	راش
راشتينان	NEWMORPH
راطية	NEWMORPH
راعب	راعِب
راغسرسنة	NEWMORPH
راغن	NEWMORPH
راف	NEWMORPH
راكة	NEWMORPH
راكس	NEWMORPH
راكسة	NEWMORPH
رالان	NEWMORPH
رام	رامِي,رام-ِ,رام
راماشاه	NEWMORPH
رامان	NEWMORPH
رامة	رام-ِ,رام
رامتين	NEWMORPH
رامجرد	NEWMORPH
رامح	رامِح
رامران	NEWMORPH
رامس	NEWMORPH
رامش	NEWMORPH
رامشهرستان	NEWMORPH
رامشين	NEWMORPH
رامن	NEWMORPH
رامني	رام-ِ,رام
رامهرمز	NEWMORPH
راموسة	رامُوس
رامي	رامِي
راميثن	NEWMORPH
رانني	ران-ِ
رانوناء	NEWMORPH
راهص	NEWMORPH
راهط	NEWMORPH
راور	NEWMORPH
راوسان	NEWMORPH
راون	NEWMORPH
راونج	NEWMORPH
راوند	راوَنْد
راونسر	NEWMORPH
راوية	راوِي
رايان	NEWMORPH
راية	رَأْي,رايَة
رائس	NEWMORPH
رائع	رائِع
رباب	رَباب
رباح	رُبّاح
رباع	رُباع,رَبْع,رَبّاع
ربب	رَبَّب
ربخ	NEWMORPH
ربذ	NEWMORPH
ربوة	رِبْوَة,رَبْوَة,رَبْو,رَبَّى,رَبا
ربيخن	NEWMORPH
ربيعة	رَبِيعَة,رَبِيع
ربيق	NEWMORPH
رتم	رَتَم-ِ,رَتَم-َ
رجا	رَجاء,رَجّ,رَجا
رجام	رُجْمَة
رجان	NEWMORPH
رجل	رَجُل,رَجَّل,رِجْل,رَجِل-َ
رجم	رُجْمَة,رَجَّم,رَجْم,رَجَم
رجمان	NEWMORPH
رجيج	NEWMORPH
رجيع	رَجِيع
رجينة	رَجِي-َ
رحا	NEWMORPH
رحاب	رِحاب
رحايا	رَحّاي
رحب	رُحْب,رَحُب,رَحَب,رَحَّب,رَحْب,رَحِب-َ
رحبة	رَحْبَة,رُحْب,رَحَب,رَحَّب,رَحْب
رحبى	رُحْب,رَحَب,رَحْب
رحرحان	NEWMORPH
رحقان	NEWMORPH
رحيات	NEWMORPH
رحية	رَحَى
رحيضة	NEWMORPH
رخ	رُخّ,رَخّ
رخاء	رَخاء,رُخاء
رخام	رُخام
رخج	NEWMORPH
رخره	NEWMORPH
رخش	NEWMORPH
رخشيوذ	NEWMORPH
رخم	رَخَم,رَخَّم,رَخُم
رخمان	NEWMORPH
رخمة	رَخَم,رَخَّم
رخيم	رَخِيم
رخينون	NEWMORPH
رداع	NEWMORPH
ردعان	NEWMORPH
ردفان	رِدْف
ردفة	رَدِف-َ,رِدْف,رَدَف
ردم	رَدَّم,رَدْم,رَدَم
ردمان	NEWMORPH
رذام	NEWMORPH
رذان	NEWMORPH
رزام	NEWMORPH
رزبيط	NEWMORPH
رزجاه	NEWMORPH
رزم	رَزَم,رِزْمَة
رزماباذ	NEWMORPH
رزماز	NEWMORPH
رزمان	NEWMORPH
رزه	رَزَّة,رَزّ,رُزّ
رزيق	رَزِيق
رستاق	رُسْتاق
رستغفر	NEWMORPH
رستغفن	NEWMORPH
رستقباذ	NEWMORPH
رستماباذ	NEWMORPH
رستمكويه	NEWMORPH
رسكن	NEWMORPH
رشاطة	NEWMORPH
رشتان	NEWMORPH
رشيد	رَشِيد
رشين	NEWMORPH
رصاغ	NEWMORPH
رصاف	رَصّاف
رصفة	رَصَّف,رَصَف,رَصِف,رَصْف
رضاء	رِضاء
رضام	NEWMORPH
رضوى	NEWMORPH
رعان	رَعْن
رعبان	NEWMORPH
رعل	NEWMORPH
رعم	NEWMORPH
رعن	رَعُن,راع,رَعْن,رَعَن,راع-ِ
رعين	رَعَى-َ
رغاط	NEWMORPH
رغافة	NEWMORPH
رغال	NEWMORPH
رغباء	NEWMORPH
رغبان	NEWMORPH
رغمان	NEWMORPH
رغوان	NEWMORPH
رغوة	رَغْوَة,رَغَّى,رَغا
رغيمان	NEWMORPH
رفح	رَفَح
رفرف	رَفْرَف
رفنية	NEWMORPH
رقادة	رُقاد
رقد	راقِد,رَقْد,رَقَّد,رَقَد
رقصت	رَقَص,رَقَّص
رقم	رَقَّم,رَقْم,رَقَم
رقن	رَقْن,راق-ِ,راق
رقوبل	NEWMORPH
رك	رَكّ,رَكّ-ِ
ركاء	NEWMORPH
ركاح	NEWMORPH
ركانة	NEWMORPH
ركبان	NEWMORPH
ركضة	رَكْضَة,رَكَض
ركك	رَكّ
ركلة	رَكْل,رَكَل
ركن	رُكْن,رَكِن-َ,رَكَن
ركوبة	رُكُوب,رَكُوب
ركيح	NEWMORPH
رم	رَمّ-ِ,رَمّ
رما	رَمّ-ِ,رَمّ
رماح	رَمّاح,رُمْح
رماخ	NEWMORPH
رمادان	NEWMORPH
رمادة	رَماد
رماع	NEWMORPH
رماغ	NEWMORPH
رمان	رُمّان
رمجار	NEWMORPH
رمح	رُمْح,رَمَح-َ
رمشة	رَمَش-ُِ,رَمَش,رِمْش,رَمْشَة
رمطة	NEWMORPH
رمع	NEWMORPH
رمكان	NEWMORPH
رمم	رَمَّم,رِمَّة
رمي	رَمْي,رَمَى-ِ,رَمّ
رميا	رَمْي,رَمَى-ِ
رميان	NEWMORPH
رميتان	رَمْيَة
رميص	NEWMORPH
رميلة	رُمَيْلَة
رنان	رَنّان
رنبويه	NEWMORPH
رنة	رَنّ-ِ,ران-ِ,رَنَّة
رند	NEWMORPH
رندة	رَنْدَة
رندورد	NEWMORPH
رنوم	NEWMORPH
رنية	NEWMORPH
رهاط	رَهْط
رهاوة	NEWMORPH
رهبا	رَهَب,رَهَّب,رَهِب-َ
رهجان	NEWMORPH
رهط	رَهَط-َ,رَهْط
رهنان	رَهْن
رهنة	رَهَن-َ,رَهْن
رهوة	رَها,رَهْو
رهوط	NEWMORPH
رهوى	رَهْو
رؤاف	NEWMORPH
رؤام	NEWMORPH
روانير	NEWMORPH
رواوة	NEWMORPH
رؤب	NEWMORPH
روبا	رُوب,رَوْب,رَوَّب
روبانجاه	NEWMORPH
روبنج	NEWMORPH
روتنك	NEWMORPH
روثان	NEWMORPH
روثة	رَوْث
روحا	رَوَّح,رُوح,رَوْح
روحة	رَوَّح,رَوْحَة,رُوح,رَوْح
روحين	NEWMORPH
رودس	رُودُس
روذان	NEWMORPH
روذبار	NEWMORPH
روذدشت	NEWMORPH
روذراور	NEWMORPH
روذفغكد	NEWMORPH
روذك	NEWMORPH
روذه	NEWMORPH
روس	رُوس,رُوسِيّ,رَوَّس
روستقباذ	NEWMORPH
روسيس	NEWMORPH
روشان	NEWMORPH
روضتان	رَوْضَة
روطة	NEWMORPH
روق	رَوْق,رَوَّق
رولان	رُولان
رومان	رُومان
رومة	رَوْم,رُوم,رُوما
رونات	NEWMORPH
روناش	NEWMORPH
رؤيا	رُؤَى
رويان	رَوِيّ
روية	رَوِيّ,رَوِيَّة
رؤية	رُؤْيَة
رؤيتان	رُؤْيَة
رويدشت	NEWMORPH
روين	رَوَى-ِ,رَوَّى
رويندز	NEWMORPH
ريا	رَيّاً,رَيّ
رياح	رَيّاح,رِيح
رياع	NEWMORPH
رئام	NEWMORPH
ريان	رِيان,رَيّان
رية	رِئَة,رَيّ
ريث	NEWMORPH
ريحاء	NEWMORPH
ريحان	رَيْحان,رَيِّح
ريخ	NEWMORPH
ريخشن	NEWMORPH
ريدان	NEWMORPH
ريدة	رَوْد
ريذمون	NEWMORPH
ريسوت	NEWMORPH
ريسون	NEWMORPH
ريشان	NEWMORPH
ريشهر	NEWMORPH
ريعان	رَيْعان
ريغ	NEWMORPH
ريكنج	NEWMORPH
ريكنز	NEWMORPH
رئم	رَئِم-َ,رِئْم
ريمان	NEWMORPH
ريمة	رَيَّم,رِيمَة,رِئْم,رِيم
ريو	رِيُو
ريودد	NEWMORPH
ريودى	NEWMORPH
ريوذ	NEWMORPH
ريورثون	NEWMORPH
ريوقان	NEWMORPH
ريونج	NEWMORPH
ريوند	NEWMORPH
زابل	NEWMORPH
زابلستان	NEWMORPH
زابن	NEWMORPH
زابيا	NEWMORPH
زابيان	NEWMORPH
زاحد	NEWMORPH
زاذان	NEWMORPH
زاذقان	NEWMORPH
زاذك	NEWMORPH
زاذيك	NEWMORPH
زار	زار
زارجان	NEWMORPH
زاريان	NEWMORPH
زاشت	NEWMORPH
زاعورة	NEWMORPH
زاغرسوسن	NEWMORPH
زاغونى	زاغ,زاغ-ِ
زافون	NEWMORPH
زاقف	NEWMORPH
زالق	NEWMORPH
زام	زام
زاميثن	NEWMORPH
زاميثنة	NEWMORPH
زامين	NEWMORPH
زاور	NEWMORPH
زاوطا	NEWMORPH
زاوه	NEWMORPH
زباب	NEWMORPH
زباد	زَبْدِيَّة,زَباد
زبارا	NEWMORPH
زبالة	زَبّال,زُبالَة
زبان	NEWMORPH
زبانى	زُبانَى
زبد	زُبْدَة,زُبْد,زَبَد,زَبَّد
زبدان	NEWMORPH
زبدة	زُبْدَة,زُبْد,زَبَد,زَبَّد
زبدقان	NEWMORPH
زبراء	NEWMORPH
زبران	NEWMORPH
زبطرة	NEWMORPH
زبغدوان	NEWMORPH
زبنة	زَبُون
زبوية	NEWMORPH
زبية	زُبْيَة
زبيد	زُبَيْد
زبيدان	NEWMORPH
زبيلاذان	NEWMORPH
زبين	NEWMORPH
زجاج	زُجاج,زُجّ,زَجّاج
زجي	أَزَجّ,زَجَّى,زُجّ
زجيج	NEWMORPH
زحك	NEWMORPH
زحيرية	NEWMORPH
زحيف	NEWMORPH
زخ	NEWMORPH
زخة	زَخَّة
زخم	زَخَم,زَخِم-َ,زَخِم,زَخَم-َ
زخمان	زَخِم
زخيخ	NEWMORPH
زرا	زَرّ,زِرّ
زراباذ	NEWMORPH
زرارة	NEWMORPH
زرافات	زَرافَة
زراوة	NEWMORPH
زراوند	NEWMORPH
زربة	زَرِب-َ,زَرَّب
زرجين	NEWMORPH
زرخش	NEWMORPH
زرد	زَرَد
زردنا	زَرَد
زرزا	NEWMORPH
زرزم	NEWMORPH
زرفامية	NEWMORPH
زرق	زَرَق,زَرِق-َ,زَرْق,زَرَق-ِ,أَزْرَق
زرقان	NEWMORPH
زركران	NEWMORPH
زركون	NEWMORPH
زرم	NEWMORPH
زرمان	NEWMORPH
زرنج	NEWMORPH
زرنجرى	NEWMORPH
زرند	NEWMORPH
زرندر	NEWMORPH
زرنروذ	NEWMORPH
زرنكرى	NEWMORPH
زرنوج	NEWMORPH
زرنوق	NEWMORPH
زرنيخ	زِرْنِيخ
زرهون	NEWMORPH
زرود	زَرَد
زروديزه	NEWMORPH
زريران	NEWMORPH
زريق	زُرَيْق
زشك	NEWMORPH
زعبة	NEWMORPH
زعبل	NEWMORPH
زعر	زَعِر
زعريماش	NEWMORPH
زغابة	NEWMORPH
زغاوة	NEWMORPH
زغر	زَغَر-َ
زغرتان	NEWMORPH
زغموا	NEWMORPH
زغندان	NEWMORPH
زغوان	NEWMORPH
زفا	زَفّ,زَفّ-ِ
زفتا	زِفْت,زَفَّت,زَفّ,زَفّ-ِ,زَفَّة
زقوقا	NEWMORPH
زكان	NEWMORPH
زكت	زَكَّى,زَكا
زكرام	NEWMORPH
زكية	زَكِيّ,زَكِي-َ
زلالة	زُلال
زلفة	زَلَف,زَلَّف,زُلْفَة
زلم	زَلَم
زلول	NEWMORPH
زم	زَمّ
زماخير	NEWMORPH
زماراء	NEWMORPH
زمان	زَمان
زمخشر	NEWMORPH
زمزم	زَمْزَم
زملق	NEWMORPH
زملكا	NEWMORPH
زملكان	NEWMORPH
زمنداور	NEWMORPH
زمهر	زَمْهَر
زميخ	NEWMORPH
زناته	زانِي
زنانير	زُنّار
زنبر	NEWMORPH
زنبق	زَنْبَق
زنج	زَنْج
زنجان	NEWMORPH
زند	زِنَد,زَنْد
زندان	NEWMORPH
زندة	زِنَد,زَنْد
زندجان	NEWMORPH
زندخان	NEWMORPH
زندرامش	NEWMORPH
زندرميثن	NEWMORPH
زندروذ	NEWMORPH
زندنه	NEWMORPH
زندورد	NEWMORPH
زندينا	NEWMORPH
زنق	زَنَقَة,زَنَق-ِ,زَنَّق
زنقب	NEWMORPH
زنيم	زَنِيم
زها	زَها
زهام	NEWMORPH
زهبوط	NEWMORPH
زهدم	NEWMORPH
زهلول	NEWMORPH
زهمان	زَهِم
زهو	زَهْو,زُهُوّ
زو	NEWMORPH
زوابي	NEWMORPH
زواخ	NEWMORPH
زواط	NEWMORPH
زوالقنج	NEWMORPH
زواني	زَوَى-ِ,زَوَّى,زُوان,زانِيَة
زواوة	NEWMORPH
زوبلة	NEWMORPH
زوخة	NEWMORPH
زور	أَزْوَر,زَوَر,زُور,زَوْر,زَوَّر
زوراء	أَزْوَر
زورابذ	NEWMORPH
زورة	زَوَر,أَزْوَر,زَوْر,زُور,زَوْرَة,زَوَّر
زوزا	NEWMORPH
زوزان	NEWMORPH
زوزن	NEWMORPH
زوش	NEWMORPH
زولاب	NEWMORPH
زولاه	زَوَّل
زوم	زُوم,زَوَّم
زون	NEWMORPH
زويل	NEWMORPH
زويلة	NEWMORPH
زوين	زَوَى-ِ,زَوَّى
زيادان	NEWMORPH
زيادباذ	NEWMORPH
زيتان	زَيْت
زيد	زَيْد,زَيَّد
زيدان	زَيْدان
زيداون	NEWMORPH
زيرباذ	NEWMORPH
